LCSC,Description,Quantity,
C2286, LED-R,2,
C48689518,22uH 600mA,2,
C2927038, USB Type-C,1,
C52016406,Pico1.25-2P,2,
C50380694,3.75 mm micro SD,1,
C42420258, Right-angle switch,3,
C85364, ESD-USB,2,
C859739,25mOhm 0603,2,
C2856805,FPC24-pin bottom contact,1,
C25905,5.1k 0402,6,
C4109,2K,3,
C5259235,GX4054,1,
C41419378,GS2019-33TR5,1,
C4748724,SOT-23,Vth=-0.6V PMOS,1
C2909330,2.2 Ohm 0402 62.5 mW 1%,1,
C114765,22 Ohm 0402,2,
C20634976,SOT-23 Vth=0.9V NMOS,1,
C41376466,SOD-323 Schottky 370mV,4,
C2906872,47k 0402,8,
C6119795,4.7 uF 25V 0402,17,
