"Reference","Qty","Value","Manufacturer","LCSC","JLC Type","MPN"
"C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C11,C12,C13,C20,C21,C22,C23","17","4.7uF","HRE","C6119795","Extended","CGA0402X5R475M250GT"
"D1,D2,D3,D20","4","SD103AWS-L SOD-323","PIELENST","C41376466","Extended","SD103AWS-L"
"D4","1","RED","Hubei KENTO Elec","C2286","","KT-0603R"
"L1","1","22uH 600mA","SOREDE","C48689518","","SRTC.252010.YB220MT00"
"P1","1","USB-TYPE-C-018","DEALON","C2927038","","USB-TYPE-C-018"
"P3","1","FPC-05F-24PH20","XUNPU","C2856805","","FPC-05F-24PH20"
"P4","1","HX-1.25-2AWB","hanxia","C52016406","","HX-1.25-2AWB"
"Q1","1","AO3401-ED","HXY MOSFET","C4748724","Extended","AO3401-ED"
"Q2","1","AO3400","FOSAN","C20634976","Extended","AO3400"
"R1","1","2.2Ω 0402 ±1%","FOJAN","C2909330","Extended","FRC0402F2R20TS"
"R2,R4,R11,R12,R13,R14,R18,R19","8","47kΩ","FOJAN","C2906872","Extended","FRC0402F4702TS"
"R5,R8,R9,R10,R23,R24","6","5.1KΩ","UNI-ROYAL","C25905","","0402WGF5101TCE"
"R6,R7","2","22Ω","Yageo","C114765","Extended","RC0402FR-0722RL"
"R20,R21,R22","3","2KΩ","UNI-ROYAL","C4109","","0402WGF2001TCE"
"SH2","1","25mΩ","YAGEO","C859739","Extended","RL0603FR-070R025L"
"SW1,SW2,SW3","3","TS-24CA-S16","JXTCONN","C42420258","","TS-24CA-S16"
"U1","1","ESP32-C3-MINI-1-N4","ESPRESSIF(乐鑫)","C2838502","",""
"U2","1","LCK-TF-027H37508-WLG","LCKELEC","C50380694","Extended","LCK-TF-027H37508-WLG"
"U3","1","GX4054","GUOXIN JIAPIN SEMICONDUCTOR","C5259235","","GX4054"
"U4","1","GS2019-33TR5","Gainsil","C41419378","","GS2019-33TR5"
"U5","1","STC3115AIQT","ST Microelectronics","C2688637","","STC3115AIQT"
"U6","1","ESD-USB","PROTEK","C85364","","SRV05-4-P-T7"
