Designator,Footprint,Quantity,Value,LCSC Part #
ANT2,SMD_ANT_1206,1,2.45 Ghz 1206,C6569546
"C0, C19, C22, C24",C0402,4,4.7uF 10V,C23733
"C1, C11, C12, C13, C14, C15, C18, C2, C20, C3, C4, C5, C6, C7",C0402,14,1uF,C52923
C10,C0402,1,0.7pF 0402,C397301
"C16, C17",C0402,2,15pF,C1548
C21,C59461_C0603,1,22uF,C59461
C8,C1779_C0805,1,4.7uF 25V,C1779
"D1, D2, D20, D3",C191023_SOD-323_L1_8-W1_3-LS2_5-RD,4,Schottky SOD-323,C191023
D4,C2286_LED0603-RD,1,RED,C2286
FB1,C14709_L0603,1,BLM18PG121SN1D_C14709,C14709
L1,C48689518_L1008,1,22uH 600mA,C48689518
L2,L0402,1,8.2nH 0402,C84404
L3,L0402,1,1.6nH 0402,C341686
P1,C2927038_USB-C_SMD-TYPE-C-31-M-12,1,USB-TYPE-C-018,C2927038
P3,C2856805_FPC-SMD_24P-P0_50_FPC-05F-24PH20,1,FPC-05F-24PH20,C2856805
P4,C52016406_CONN-SMD_2P-P1_25_HX-1_25-2AWB,1,HX-1.25-2AWB,C52016406
Q1,SOT23-3,1,HL2300,C7420343
Q2,SOT23-3,1,HL2305,C28646261
R1,R0603,1,2.2Ω,C22939
"R10, R9",R0402,2,5.1KΩ,C25905
"R11, R12, R13, R14, R15, R16, R17, R19, R2, R23, R5, R8",R0402,12,10KΩ,C25744
"R18, R6, R7",R0402,3,22Ω,C25092
"R20, R21, R22",R0402,3,2KΩ,C4109
SH2,R0603,1,25mΩ,C859739
"SW1, SW2, SW3",C42420265_SW-SMD_L4_7-W3_5-P3_35-EH,3,TS-24CA-S16,C42420258
U1,C2858491_QFN-32_L5_0-W5_0-P0_50-TL-EP3_7,1,ESP32-C3FH4,C2858491
U2,C50380692_TF-SMD_HYCW104-TF08-375B,1,LCK-TF-027H30008-WLG,C50380692
U3,SOT-23-5,1,GX4054,C5259235
U4,SOT-23-5,1,GS2019-33TR5,C41419378
U5,C2688637_DFN-10_L3_0-W2_0-P0_50-BL,1,STC3115AIQT,C2688637
U6,C85364_SOT-23-6_L2_9-W1_6-P0_95-LS2_8-BR,1,ESD-USB,C85364
X1,C49304717_CRYSTAL-SMD_4P-L2_0-W1_6-BL,1,40MHz 9pF 2016,C49304717
