Designator,Mid X,Mid Y,Rotation,Layer
ANT2,105.925,-100.000343,90.0,top
C0,115.749968,-86.35,180.0,top
C1,104.55,-89.9,90.0,top
C10,109.65,-94.97,90.0,top
C11,111.65,-95.6,270.0,top
C12,113.7,-92.5,0.0,top
C13,117.85,-97.55,90.0,bottom
C14,116.55,-98.0,0.0,bottom
C15,109.3,-97.0,270.0,top
C16,115.15,-90.5,270.0,top
C17,117.05,-92.5,180.0,top
C18,117.75,-94.675,180.0,bottom
C19,102.3,-89.9,270.0,top
C2,115.750064,-87.195181,180.0,top
C20,111.5,-72.25,270.0,top
C21,117.65,-78.15,90.0,top
C22,106.8135,-75.010986,90.0,top
C24,108.0,-73.15,180.0,top
C3,117.5,-84.125,90.0,top
C4,115.750064,-88.145181,180.0,top
C5,105.3,-89.9,90.0,top
C6,105.3,-82.9,90.0,top
C7,106.05,-89.9,90.0,top
C8,104.6,-92.2,0.0,top
D1,115.725,-84.15,90.0,top
D2,117.7,-81.4,270.0,top
D20,108.6,-71.95,180.0,top
D3,117.65,-87.0,270.0,top
D4,113.6,-71.6,0.0,bottom
FB1,110.55,-97.0,90.0,top
L1,116.45,-84.5,180.0,bottom
L2,105.45,-98.85,0.0,top
L3,107.6,-96.7,90.0,top
P1,103.923508,-76.3,90.0,bottom
P3,111.812471,-85.2,270.0,top
P4,115.3,-77.5,270.0,bottom
Q1,115.6,-79.8,180.0,top
Q2,119.2,-73.05,0.0,top
R1,115.2,-77.59,180.0,top
R10,105.8,-76.95,180.0,top
R11,103.8,-86.4,270.0,top
R12,109.8,-98.85,0.0,top
R13,103.8,-89.9,270.0,top
R14,104.55,-86.4,270.0,top
R15,103.05,-89.9,90.0,top
R16,101.55,-86.4,90.0,top
R17,103.05,-86.4,90.0,top
R18,115.15,-92.05,270.0,top
R19,105.4,-75.25,0.0,top
R2,105.3,-86.4,90.0,top
R20,110.75,-72.25,270.0,top
R21,105.4,-74.45,0.0,top
R22,116.8,-72.15,180.0,top
R23,100.8,-86.4,270.0,top
R5,100.8,-89.9,90.0,top
R6,103.05,-82.9,90.0,top
R7,104.55,-82.9,270.0,top
R8,101.55,-89.9,90.0,top
R9,105.8,-76.1,0.0,top
SH2,111.8,-80.15,180.0,bottom
SW1,124.5,-72.3,0.0,bottom
SW2,133.3,-72.3,0.0,bottom
SW3,142.1,-72.3,0.0,bottom
TP1,101.55,-74.5,0.0,top
TP10,111.0,-81.5,0.0,bottom
TP2,101.55,-77.9,0.0,top
TP3,109.0,-85.5,0.0,bottom
TP4,109.0,-79.5,0.0,bottom
TP5,109.0,-83.5,0.0,bottom
TP6,109.0,-81.5,0.0,bottom
TP7,111.0,-83.5,0.0,bottom
TP8,111.0,-85.5,0.0,bottom
TP9,113.0,-81.5,0.0,bottom
U1,115.600064,-96.302521,0.0,top
U2,112.2,-92.530036,270.0,bottom
U3,113.600076,-72.426932,180.0,top
U4,116.6,-75.2,270.0,top
U5,109.4135,-74.860986,0.0,top
U6,109.65,-76.350013,90.0,bottom
X1,117.1,-90.45,90.0,top
